10.12.125.43	RP-CH-DESK		e0:69:95:3b:20:fe		 
10.12.125.44	RP-AUX07-DESK		84:99:ba:58:95:21		 
10.12.125.51	SEC-CH-DESK		40:61:86:ff:59:77		 
10.12.125.52	SEC-AUX01-DESK		70:71:bc:f7:28:bf		 
10.12.125.53	SEC-AUX02-DESK		00:24:10:f9:4b:4a		 
10.12.125.54	SEC-AUX03-DESK		00:1f:d0:ff:a9:98		 
10.12.125.68	CMT-CLM-DESK		00:e4:4c:89:16:53		 
10.12.125.69	SGTECLM-CH-DESK		40:61:86:ff:5b:0a		 
10.12.125.70	SGTECLM-AUX01-DESK	70:71:bc:f7:2e:77		 
10.12.125.71	SGTECLM-AUX02-DESK	e0:69:95:3d:1d:e6		 
10.12.125.72	SUBTENCLM-AUX01-DESK	40:61:86:ff:5c:35		 
10.12.125.73	DESPOCLASS5-CH-DESK	00:24:1d:f8:f0:38		 
10.12.125.84	GRCP-CH-DESK		84:2b:2b:7c:06:ef		 
10.12.125.85	GRCP-AUX07-DESK		50:3e:aa:0d:91:a1		 
10.12.125.104	CMNT-CH-DESK		e0:69:95:19:5f:cf		 
10.12.125.110	SPP-CH-DESK		00:e4:4c:84:1e:e2		 
10.12.125.111	SPP-AUX01-DESK		1c:69:7a:ec:56:10		 
10.12.125.112	SPP-AUX02-DESK		1c:39:47:0c:2e:e5		 
10.12.125.113	SPP-AUX03-DESK		e0:69:95:10:7d:67		 
10.12.125.114	SPP-AUX04-DESK		e0:69:95:19:46:6c
